name,CHD2,EP300,ZNF384,CTCF,ZC3H11A,NANOG,HCFC1,MAFK,LAD,RNAPII-S5P,RNAPII-S7P,H3K27me3,Hist1,Vmn,H3K9me3,4-Oct,sox2,H3K36me3,med12,RNAPII-S2P,tcf3,Enhancer
chr13:22290000-22320000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22320000-22350000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
chr13:22350000-22380000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
chr13:22380000-22410000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
chr13:22410000-22440000,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
chr13:22440000-22470000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22470000-22500000,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22500000-22530000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:22530000-22560000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22560000-22590000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
chr13:22590000-22620000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22620000-22650000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
chr13:22650000-22680000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:22680000-22710000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22710000-22740000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22740000-22770000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:22770000-22800000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
chr13:22800000-22830000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22830000-22860000,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:22860000-22890000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
chr13:22890000-22920000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22920000-22950000,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
chr13:22950000-22980000,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:22980000-23010000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:23010000-23040000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:23040000-23070000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:23070000-23100000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
chr13:23100000-23130000,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
chr13:23130000-23160000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:23160000-23190000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:23190000-23220000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:23220000-23250000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:23250000-23280000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1
chr13:23280000-23310000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
chr13:23310000-23340000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:23340000-23370000,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
chr13:23370000-23400000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chr13:23400000-23430000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
chr13:23430000-23460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
chr13:23460000-23490000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
chr13:23490000-23520000,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
chr13:23520000-23550000,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
chr13:23550000-23580000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chr13:23580000-23610000,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1
chr13:23610000-23640000,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
chr13:23640000-23670000,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
chr13:23670000-23700000,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
chr13:23700000-23730000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
chr13:23730000-23760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
chr13:23760000-23790000,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
chr13:23790000-23820000,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
chr13:23820000-23850000,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1
chr13:23850000-23880000,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
chr13:23880000-23910000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:23910000-23940000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:23940000-23970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr13:23970000-24000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chr13:24000000-24030000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
chr13:24030000-24060000,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chr13:24060000-24090000,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
chr13:24090000-24120000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
